Customer_Type,Category,Unit_Price,Quantity,Discount,Total_Price,cluster
B2B,Soft Drinks,1.87,18.0,0.05,31.980000000000004,0
B2C,Juices,1.6399999999999997,4.0,3.469446951953614e-18,6.560000000000002,1
B2C,Soft Drinks,1.7400000000000002,5.0,3.469446951953614e-18,8.700000000000003,2
B2C,Juices,1.7999999999999998,15.0,3.469446951953614e-18,27.0,1
B2B,Water,0.9800000000000004,6.0,0.05,5.590000000000003,0
B2B,Juices,1.2800000000000002,31.0,0.05,37.7,0
B2C,Water,1.2599999999999998,3.0,3.469446951953614e-18,3.780000000000001,2
B2C,Juices,3.46,14.0,3.469446951953614e-18,48.44,1
B2C,Juices,3.33,12.0,3.469446951953614e-18,39.96000000000001,1
B2C,Juices,1.5899999999999999,3.0,3.469446951953614e-18,4.77000000000001,1
B2C,Soft Drinks,1.2699999999999996,7.000000000000002,3.469446951953614e-18,8.89,2
B2B,Juices,2.98,41.0,0.05,116.07,0
B2C,Juices,3.31,8.0,3.469446951953614e-18,26.480000000000004,1
B2C,Juices,2.93,7.000000000000002,3.469446951953614e-18,20.510000000000005,1
B2B,Juices,1.7599999999999998,17.0,0.1,26.930000000000007,0
B2C,Water,0.9299999999999997,8.0,3.469446951953614e-18,7.439999999999998,2
B2B,Water,0.5700000000000003,5.0,0.1,2.5600000000000023,0
B2C,Alcoholic Beverages,2.11,3.0,3.469446951953614e-18,6.3300000000000125,1
B2C,Water,0.5499999999999998,3.0,3.469446951953614e-18,1.6499999999999773,2
B2C,Soft Drinks,2.35,1.0,3.469446951953614e-18,2.3499999999999943,2
B2C,Juices,3.23,12.0,3.469446951953614e-18,38.75999999999999,1
B2B,Alcoholic Beverages,1.4299999999999997,30.0,0.1,38.61,0
B2C,Soft Drinks,2.19,14.0,3.469446951953614e-18,30.659999999999997,2
B2B,Water,0.5199999999999996,31.0,0.1,14.510000000000005,0
B2C,Soft Drinks,0.5899999999999999,8.0,3.469446951953614e-18,4.719999999999999,2
B2B,Juices,2.91,55.0,0.05,152.05,0
B2C,Soft Drinks,1.1899999999999995,9.0,3.469446951953614e-18,10.710000000000008,2
B2C,Water,0.9900000000000002,6.0,3.469446951953614e-18,5.939999999999998,2
B2B,Soft Drinks,0.9500000000000002,47.0,0.1,40.18000000000001,0
B2C,Juices,3.23,3.0,3.469446951953614e-18,9.689999999999998,1
B2C,Alcoholic Beverages,1.1600000000000001,4.0,3.469446951953614e-18,4.639999999999986,1
B2C,Water,1.42,14.0,3.469446951953614e-18,19.879999999999995,2
B2C,Juices,1.5899999999999999,3.0,3.469446951953614e-18,4.77000000000001,1
B2C,Soft Drinks,3.12,3.0,3.469446951953614e-18,9.36,2
B2C,Soft Drinks,1.5300000000000002,15.0,3.469446951953614e-18,22.950000000000003,2
B2C,Juices,3.46,12.0,3.469446951953614e-18,41.52000000000001,1
B2C,Juices,3.31,4.0,3.469446951953614e-18,13.239999999999995,1
B2C,Water,0.45999999999999996,15.0,3.469446951953614e-18,6.900000000000006,2
B2C,Soft Drinks,0.5499999999999998,7.000000000000002,3.469446951953614e-18,3.8499999999999943,2
B2C,Alcoholic Beverages,1.0899999999999999,6.0,3.469446951953614e-18,6.539999999999992,1
B2C,Soft Drinks,2.27,5.0,3.469446951953614e-18,11.349999999999994,2
B2B,Soft Drinks,0.8899999999999997,34.0,0.05,28.75,0
B2C,Water,0.45999999999999996,1.0,3.469446951953614e-18,0.46000000000000796,2
B2C,Soft Drinks,1.04,10.0,3.469446951953614e-18,10.400000000000006,2
B2B,Water,1.3100000000000005,21.0,0.05,26.129999999999995,0
B2C,Soft Drinks,2.28,4.0,3.469446951953614e-18,9.120000000000005,2
B2C,Juices,1.6399999999999997,6.0,3.469446951953614e-18,9.840000000000003,1
B2C,Water,0.45999999999999996,1.0,3.469446951953614e-18,0.46000000000000796,2
B2B,Soft Drinks,0.9900000000000002,51.0,0.05,47.97,0
B2C,Water,0.5800000000000001,10.0,3.469446951953614e-18,5.800000000000011,2
B2C,Juices,3.12,8.0,3.469446951953614e-18,24.960000000000008,1
B2B,Soft Drinks,0.7999999999999998,35.0,0.1,25.200000000000003,0
B2C,Alcoholic Beverages,4.19,1.0,3.469446951953614e-18,4.189999999999998,1
B2C,Alcoholic Beverages,4.88,8.0,3.469446951953614e-18,39.03999999999999,1
B2C,Juices,3.31,8.0,3.469446951953614e-18,26.480000000000004,1
B2C,Alcoholic Beverages,1.12,14.0,3.469446951953614e-18,15.680000000000007,1
B2C,Water,0.5800000000000001,13.0,3.469446951953614e-18,7.540000000000006,2
B2B,Water,0.6600000000000001,11.0,0.05,6.900000000000006,0
B2C,Alcoholic Beverages,1.92,11.0,3.469446951953614e-18,21.120000000000005,1
B2C,Water,1.0099999999999998,12.0,3.469446951953614e-18,12.120000000000005,2
B2C,Alcoholic Beverages,0.9299999999999997,10.0,3.469446951953614e-18,9.299999999999997,1
B2C,Water,1.3100000000000005,6.0,3.469446951953614e-18,7.859999999999999,2
B2C,Juices,3.43,13.0,3.469446951953614e-18,44.59,1
B2C,Juices,3.31,2.0,3.469446951953614e-18,6.6200000000000045,1
B2C,Water,1.71,13.0,3.469446951953614e-18,22.230000000000004,2
B2C,Juices,3.46,9.0,3.469446951953614e-18,31.14,1
B2C,Water,1.2300000000000004,1.0,3.469446951953614e-18,1.2299999999999898,2
B2C,Water,0.45999999999999996,5.0,3.469446951953614e-18,2.3000000000000114,2
B2B,Soft Drinks,2.33,48.0,0.05,106.25,0
B2C,Alcoholic Beverages,1.4100000000000001,8.0,3.469446951953614e-18,11.280000000000001,1
B2B,Soft Drinks,0.5600000000000005,16.0,0.05,8.510000000000005,0
